1252366881:0106 27c000 > [01][e801373a55639a50103cf7][e992b411f1a30932febc]
1252366881:0107 27c000 > [01][e801373a5563bb50103cd6][22884890bc4fba083aea]
1252366881:0108 27c000 > [e1][34241b8c3fef7039c655ac2908f83b019d114a48b6537a52435ef9d533f3e1966540450df53b1fbb50183cd6][16ee774168a0543fd65e]
1252366882:0109 27c000 > [01][e801583a5563dc50103cb5][eb6a90b0139eb5ed45f4]
1252366882:0110 27c000 > [01][e801583a5563fd50103c94][61351a33762d15e6a171]
1252366882:0111 27c000 > [e1][56d52854ce839c413a6b0b3441c61eb3a2a04631af31c8831d116f7f35e81f97a6e792a40edf83fd50183c94][588ebfea4934e3ec0956]
1252366882:0112 27c000 > [01][e801793a55641e50103c73][ebb3ce4a6e605d394c82]
1252366883:0113 27c000 > [01][e801793a55643f50103c52][f71fa1322b8ebd9295cc]
1252366883:0114 27c000 > [e1][a335cb960a71e5f1ace815035c793cbde8648a054fdc16565a30f698484f8072340f83b8e3d9a43f50183c52][4f981c3b8995626aa342]
1252366883:0115 27c000 > [01][e8019a3a55646050103c31][cd3e925ea32362f6bc61]
1252366883:0116 27c000 > [e1][9af0003daf2807bb5e964630ac6e2fa3daca775a84eadd41e9f8d0586fd73b557e0eb71938a4606050183c31][5f8f33cbec90e3a1dceb]
1252366884:0117 27c000 > [01][e801bb3a55648150103c10][9ebd521e7ae80f0a9315]
1252366884:0118 27c000 > [e1][d91cd865f3e2e2dd8b50dcda9520b38cfa65b9f18acf198fc488a3f961bc5e362ff7d88ad106068150183c10][4128accdc4ce9e12a164]
1252366884:0119 27c000 > [01][e801dc3a5564a250103bef][c5573692fd809bc61838]
1252366884:0120 27c000 > [e1][777e0c10dea53ce821a45123ebc3cc564c95bad49ca7d84cb1d40cbeb2e7e69c0fcc8106f5be32a250183bef][ce56b139aaf77ecb08ac]
1252366884:0121 27c000 > [01][e801fd3a5564c350103bce][89d75dc04630d298bf48]
1252366884:0122 27c000 > [e1][20474c9eda772b85c217051a9c294e4cb60794cbb171370a000a1367efb03eb686cc973893be0cc350183bce][e0984b5124c7abe7eaa7]
1252366885:0123 27c000 > [01][e8021e3a5564e450103bad][47470c3041c0d78bb73d]
1252366885:0124 27c000 > [e1][ebd467dc6d5ddbcf6a44ef35d705d2bdea7334c9ef566aeae00eaabb73d9d21e2f6903a8dd6941e450183bad][3f121a91b3dab64a0a6a]
1252366885:0125 27c000 > [01][e8023f3a55650550103b8c][bea1e1c05b91deb6567d]
1252366885:0126 27c000 > [e1][9c8233b743a1550ca7ad19d85b9e6bd33b9b2c79d0b40c0ccd8f0c002060688b406088def2e6b70550183b8c][f0941de8ce65414de0fa]
1252366885:0127 27c000 > [01][e802603a55652650103b6b][e091967ab7edbad47c44]
1252366885:0128 27c000 > [e1][f2d7eac0dfef66e288739d49ca961ddb8914838f800f8d47e81633364ed44e12f4f13c1e7d53442650183b6b][a80a410aa78844d4351a]
1252366885:0129 27c000 > [01][e802813a55654750103b4a][fe5ff35e6435bb7178eb]
1252366885:0130 27c000 > [e1][f5a3bf2905e0e64759e89bc7bba131262c049686da3619e454429b1341f1c26e51ec209952c6be4750183b4a][a4104b95e94c9a868bbe]
1252366885:0131 27c000 > [01][e802a23a55656850103b29][e9facaf58a14f0c3ef1d]
1252366885:0132 27c000 > [e1][292f9e034686d4419ee13ad9584849af68007dfbc33392d3ab506bc1c0bc71299f514a39ec323a6850184030][7841452c50348b6194d1]
1252366886:0133 27c000 > [01][e802c33a5565895010400f][1aa3c91ad9c26d728d40]
1252366886:0134 27c000 > [e1][fd4371cacc8a2576a8e7c58badf9a48836d810478f331b30752c182088e6fa0e7db9cd27c953a3895018400f][02b1a4b1d26cd268d352]
1252366886:0135 27c000 > [01][e802e43a55667f50103f19][9afc82fe3f900bc2e381]
1252366886:0136 27c000 > [01][e802e43a5566a050103ef8][111da4964badc2f82c55]
1252366886:0137 27c000 > [e1][70bcd058899d1288ffc75de26f55f1a972b9a171de119470776605f53c8880ffd1121e1c93f43fa050183ef8][98b92ad40ec5d3dd2b06]
1252366888:0138 27c000 > [01][e803053a5566a250103ef6][b83ff1a1923b23b3c1c2]
1252366888:0139 27c000 > [c1][46a3b004aa823f66a250183ef6][8f74a7e39a90b33ab14c]
1252366890:0140 27c000 > [01][e803073a5566a450103ef4][92230d9265e987c2e8e7]
1252366890:0141 27c000 > [c1][e33236107df73166a450183ef4][55592342ebfb518bd983]
1252366892:0142 27c000 > [c1][8b2a9ecdfd6bef66a450183ef4][7bd004de67843aaabd1f]
1252366893:0143 27c000 > [01][e8030b3a5566a650103ef2][bbdf7172a0fe028dc7c0]
1252366894:0144 27c000 > [c1][ae92da058dca4566a650183ef2][ba2047e99e90da610f9b]
1252366895:0145 27c000 > [01][e8030d3a5566a850103ef0][fd4f84e092921887b608]
1252366896:0146 27c000 > [c1][3fdd3d7c89e46966a850183ef0][6bf753c2607e005ed7f1]
1252366897:0147 27c000 > [c1][8023a64c024cb5f3b471659467fd7666a850183ef0][0fba97c01c9198e281cf]
1252366897:0148 27c000 > [01][e803193a5566aa50103eee][69cfb405a5690cc59739]
1252366898:0149 27c000 > [01][e803193a5566b450103ee4][8f46c447697695872702]
1252366899:0150 27c000 > [c1][220da45ad1492166b450183ee4][e999860dc1f376a3ab6b]
1252366899:0151 27c000 > [01][e8031b3a5566b950103edf][9bfd72d277b70ec54183]
1252366899:0152 27c000 > [61][7dfc555aff89ce1b3a5566b950183edf][ce3c636e0917818704de]
1252366899:0153 27c000 > [0d][7b364ad12deba203a9bcf86cc0ce51][1abef7cc39fd03ead387]
1252366899:0154 27c000 > [0d][192d41ed0fa288a0bb73cb7338902f][4be4028c27b021ebec0b]
1252366899:0155 27c000 > [cd][091f0e1cb5344b0a39044838b9b1ad3ff174c6050d5015][f3b6cf1a534d1cde7cfd]
1252366899:0156 27c000 > [cd][bdff0d3546504999d55a6231cf328f437948209f3f637d][72a91df130809f425095]
